year,date,name,code,region,value,color,platform_scope,metric_context,source_type,confidence,source_url,notes
2018,2018-12-01,Counter-Strike 2 / CS:GO,CS2,Steam,746548,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2018,2018-12-01,Dota 2,DOTA2,Steam,844713,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2019,2019-02-02,Fortnite,FORTNITE,Global,10700000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.theverge.com/2019/2/21/18234980/fortnite-marshmello-concert-viewer-numbers,Marshmello in-game event peak
2019,2019-09-17,League of Legends,LOL,Global,8000000,#C89B3C,PC MOBA,reported peak concurrent players,company_report,medium_high,https://en.wikipedia.org/wiki/League_of_Legends,Riot reported regular peak concurrent users in 2019
2019,2019-12-01,Counter-Strike 2 / CS:GO,CS2,Steam,767060,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2019,2019-12-01,Dota 2,DOTA2,Steam,1033925,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2019,2019-12-01,PUBG: Battlegrounds,PUBG,Steam,1084606,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2020,2020-02-13,CrossFire,CROSSFIRE,Global,6000000,#E11D48,PC online shooter,reported peak concurrent players,company_secondary,medium,https://variety.com/2020/digital/news/crossfire-tv-series-sony-smilegate-1203504221/,Variety report citing more than six million concurrent users
2020,2020-04-01,Counter-Strike 2 / CS:GO,CS2,Steam,1305714,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2020,2020-04-23,Fortnite,FORTNITE,Global,12300000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.epicgames.com/site/en-US/news/travis-scott-s-astronomical,Travis Scott Astronomical event peak
2020,2020-11-01,Apex Legends,APEX,Steam,117193,#DC2626,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1172470,Highest observed concurrent-player peak within the year
2020,2020-11-14,Roblox - Lil Nas X Concert Experience,ROBLOX_LILNASX,Roblox,988351,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2020,2020-12-01,Fortnite,FORTNITE,Global,15300000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://thewaltdisneycompany.com/fortnites-nexus-war-with-galactus-event-draws-15-3-million-concurrent-players/,Marvel Nexus War with Galactus event peak
2020,2020-12-01,Dota 2,DOTA2,Steam,801121,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2020,2020-12-01,PUBG: Battlegrounds,PUBG,Steam,913075,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2021,2021-03-01,Counter-Strike 2 / CS:GO,CS2,Steam,1198581,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2021,2021-04-16,Roblox - Adopt Me!,ROBLOX_ADOPTME,Roblox,1920887,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2021,2021-08-01,Apex Legends,APEX,Steam,330879,#DC2626,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1172470,Highest observed concurrent-player peak within the year
2021,2021-10-01,New World,NEWWORLD,Steam,913027,#10B981,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1063730,Highest observed concurrent-player peak within the year
2021,2021-12-01,Dota 2,DOTA2,Steam,756170,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2021,2021-12-01,PUBG: Battlegrounds,PUBG,Steam,464480,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2022,2022-02-01,Lost Ark,LOSTARK,Steam,1324761,#38BDF8,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1599340,Highest observed concurrent-player peak within the year
2022,2022-02-01,New World,NEWWORLD,Steam,137755,#10B981,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1063730,Highest observed concurrent-player peak within the year
2022,2022-03-01,Apex Legends,APEX,Steam,510286,#DC2626,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1172470,Highest observed concurrent-player peak within the year
2022,2022-11-01,Counter-Strike 2 / CS:GO,CS2,Steam,1129095,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2022,2022-12-01,Dota 2,DOTA2,Steam,1038848,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2022,2022-12-01,PUBG: Battlegrounds,PUBG,Steam,696704,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2023,2023-02-25,Roblox - Pet Simulator X!,ROBLOX_PETSIMX,Roblox,1465643,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2023,2023-03-01,Lost Ark,LOSTARK,Steam,333008,#38BDF8,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1599340,Highest observed concurrent-player peak within the year
2023,2023-05-01,Counter-Strike 2 / CS:GO,CS2,Steam,1802853,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2023,2023-07-01,Apex Legends,APEX,Steam,624473,#DC2626,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1172470,Highest observed concurrent-player peak within the year
2023,2023-12-01,Dota 2,DOTA2,Steam,855495,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2023,2023-12-01,New World,NEWWORLD,Steam,77642,#10B981,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1063730,Highest observed concurrent-player peak within the year
2023,2023-12-01,PUBG: Battlegrounds,PUBG,Steam,623852,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2023,2023-12-02,Fortnite,FORTNITE,Global,11616374,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.theverge.com/2023/12/4/23987661/fortnite-big-bang-event-players-queue-issues,Eminem Big Bang event peak
2024,2024-01-01,Palworld,PALWORLD,Steam,2101535,#22C55E,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1623730,Highest observed concurrent-player peak within the year
2024,2024-01-01,PUBG: Battlegrounds,PUBG,Steam,807515,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2024,2024-01-01,New World,NEWWORLD,Steam,61364,#10B981,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1063730,Highest observed concurrent-player peak within the year
2024,2024-01-01,Lost Ark,LOSTARK,Steam,94636,#38BDF8,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1599340,Highest observed concurrent-player peak within the year
2024,2024-02-01,Dota 2,DOTA2,Steam,943059,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2024,2024-03-01,Apex Legends,APEX,Steam,469431,#DC2626,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1172470,Highest observed concurrent-player peak within the year
2024,2024-11-30,Fortnite,FORTNITE,Global,14000000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.espn.com/gaming/story/_/id/42708537/fortnite-remix-finale-event-breaks-concurrent-player-record-snoop-dogg-eminem-ice-spice-juice-wrld,Remix The Finale reported over 14M in-game concurrent players
2024,2024-12-01,Counter-Strike 2 / CS:GO,CS2,Steam,1740261,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2024,2024-12-01,Marvel Rivals,MARVELRIVALS,Steam,418832,#FACC15,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/2767030,Highest observed concurrent-player peak within the year
2024,2024-12-14,Roblox - Dress to Impress,ROBLOX_DTI,Roblox,1743147,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2024,2024-12-22,Roblox - The Strongest Battlegrounds,ROBLOX_STRONGESTBG,Roblox,1395324,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2024,2024-12-31,Roblox - Blox Fruits,ROBLOX_BLOXFRUITS,Roblox,2781531,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2025,2025-01-01,Lost Ark,LOSTARK,Steam,40645,#38BDF8,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1599340,Highest observed concurrent-player peak within the year
2025,2025-01-01,Marvel Rivals,MARVELRIVALS,Steam,642333,#FACC15,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/2767030,Highest observed concurrent-player peak within the year
2025,2025-02-01,Apex Legends,APEX,Steam,262219,#DC2626,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1172470,Highest observed concurrent-player peak within the year
2025,2025-03-01,Counter-Strike 2 / CS:GO,CS2,Steam,1818368,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2025,2025-03-01,PUBG: Battlegrounds,PUBG,Steam,1329605,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2025,2025-03-29,Roblox - Blue Lock: Rivals,ROBLOX_BLUELOCKRIVALS,Roblox,1097082,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-04-19,Roblox - Dead Rails,ROBLOX_DEADRAILS,Roblox,1476198,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-07-01,Palworld,PALWORLD,Steam,208927,#22C55E,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1623730,Highest observed concurrent-player peak within the year
2025,2025-08-23,Roblox - Grow a Garden,ROBLOX_GROWGARDEN,Roblox,22375597,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2025,2025-08-23,Roblox,ROBLOX,Global,47300000,#00A2FF,Roblox platform,estimated midpoint platform-wide peak concurrent users,estimated_mid_peak_ccu,medium_high,user_provided_research,User midpoint estimate from 45.0M+ to 47.4M range; CEO mentioned 45M+ concurrent users and multiple media or tracker reports cited 47.4M
2026,2026-06-21,Roblox,ROBLOX,Global,36000000,#00A2FF,Roblox platform,estimated year-to-date midpoint platform-wide peak concurrent users,estimated_mid_peak_ccu,low_medium,user_provided_research,User 2026 YTD midpoint estimate from 30.0M to 42.6M range; official peak undisclosed; Q1 2026 DAU and hours imply about 14.35M average CCU and large events may push peaks into the 30M to 40M range
2025,2025-10-01,Dota 2,DOTA2,Steam,953869,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2025,2025-10-04,Roblox - 99 Nights in the Forest,ROBLOX_99NIGHTS,Roblox,14153173,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-10-11,Roblox - Steal a Brainrot,ROBLOX_STEALBRAINROT,Roblox,25836222,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2025,2025-10-11,Roblox - Plants Vs Brainrots,ROBLOX_PLANTSVSBRAINROTS,Roblox,8654525,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-10-18,Roblox - Fisch,ROBLOX_FISCH,Roblox,1273618,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-11-01,Roblox - Forsaken,ROBLOX_FORSAKEN,Roblox,1221080,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-12-01,New World,NEWWORLD,Steam,50987,#10B981,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1063730,Highest observed concurrent-player peak within the year
2025,2025-12-06,Roblox - Fish It!,ROBLOX_FISHIT,Roblox,2716766,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-12-06,Roblox - The Forge,ROBLOX_FORGE,Roblox,1051531,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-12-19,Roblox - Brookhaven RP,ROBLOX_BROOKHAVEN,Roblox,1296208,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2025,2025-12-21,Roblox - Find the Brainrot,ROBLOX_FINDBRAINROT,Roblox,1021670,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2026,2026-01-01,Palworld,PALWORLD,Steam,76518,#22C55E,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1623730,2026 year-to-date as of 2026-06-21
2026,2026-01-01,New World,NEWWORLD,Steam,1703,#10B981,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1063730,2026 year-to-date as of 2026-06-21
2026,2026-03-01,Counter-Strike 2 / CS:GO,CS2,Steam,1717624,#F59E0B,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,2026 year-to-date as of 2026-06-21
2026,2026-03-01,Dota 2,DOTA2,Steam,869734,#EF4444,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,2026 year-to-date as of 2026-06-21
2026,2026-03-01,Apex Legends,APEX,Steam,324964,#DC2626,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1172470,2026 year-to-date as of 2026-06-21
2026,2026-03-01,Lost Ark,LOSTARK,Steam,17735,#38BDF8,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/1599340,2026 year-to-date as of 2026-06-21
2026,2026-04-01,PUBG: Battlegrounds,PUBG,Steam,1290870,#F97316,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,2026 year-to-date as of 2026-06-21
2026,2026-04-01,Marvel Rivals,MARVELRIVALS,Steam,199788,#FACC15,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/2767030,2026 year-to-date as of 2026-06-21
2012,2012-08-01,Team Fortress 2,TF2,Steam,117917,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2013,2013-12-01,Team Fortress 2,TF2,Steam,86393,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2014,2014-11-01,Team Fortress 2,TF2,Steam,104323,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2015,2015-01-01,Team Fortress 2,TF2,Steam,94272,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2016,2016-02-01,Team Fortress 2,TF2,Steam,83544,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2017,2017-10-01,Team Fortress 2,TF2,Steam,97248,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2018,2018-12-01,Team Fortress 2,TF2,Steam,116141,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2019,2019-12-01,Team Fortress 2,TF2,Steam,103481,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2020,2020-12-01,Team Fortress 2,TF2,Steam,146887,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2021,2021-06-01,Team Fortress 2,TF2,Steam,150037,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2022,2022-12-01,Team Fortress 2,TF2,Steam,147868,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2023,2023-07-01,Team Fortress 2,TF2,Steam,253225,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2024,2024-01-01,Team Fortress 2,TF2,Steam,179882,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2025,2025-12-01,Team Fortress 2,TF2,Steam,92856,#FF7F2A,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,Highest observed concurrent-player peak within the year
2026,2026-04-01,Team Fortress 2,TF2,Steam,69163,#FF7F2A,Steam,year-to-date peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/440,2026 year-to-date as of 2026-06-21
2013,2013-04-01,Warframe,WARFRAME,Steam,21157,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2014,2014-10-01,Warframe,WARFRAME,Steam,34785,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2015,2015-12-01,Warframe,WARFRAME,Steam,58502,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2016,2016-11-01,Warframe,WARFRAME,Steam,68530,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2017,2017-10-01,Warframe,WARFRAME,Steam,121377,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2018,2018-11-01,Warframe,WARFRAME,Steam,131766,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2019,2019-03-01,Warframe,WARFRAME,Steam,115102,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2020,2020-08-01,Warframe,WARFRAME,Steam,154246,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2021,2021-07-01,Warframe,WARFRAME,Steam,181509,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2022,2022-07-01,Warframe,WARFRAME,Steam,91910,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2023,2023-04-01,Warframe,WARFRAME,Steam,115322,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2024,2024-12-01,Warframe,WARFRAME,Steam,119690,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2025,2025-12-01,Warframe,WARFRAME,Steam,173377,#00E5FF,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/230410,Highest observed concurrent-player peak within the year
2026,2026-06-21,Warframe,WARFRAME,Steam,124688,#00E5FF,Steam,year-to-date peak concurrent players,steamcharts_current_peak,high,https://steamcharts.com/app/230410,2026 year-to-date current Last 30 Days peak as of 2026-06-21
2015,2015-04-01,Grand Theft Auto V Legacy,GTAV,Steam,360761,#34D399,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/271590,Highest observed concurrent-player peak within the year
2016,2016-12-01,Grand Theft Auto V Legacy,GTAV,Steam,126681,#34D399,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/271590,Highest observed concurrent-player peak within the year
